Index,UsingIP,LongURL,ShortURL,Symbol@,Redirecting//,PrefixSuffix-,SubDomains,HTTPS,DomainRegLen,Favicon,NonStdPort,HTTPSDomainURL,RequestURL,AnchorURL,LinksInScriptTags,ServerFormHandler,InfoEmail,AbnormalURL,WebsiteForwarding,StatusBarCust,DisableRightClick,UsingPopupWindow,IframeRedirection,AgeofDomain,DNSRecording,WebsiteTraffic,PageRank,GoogleIndex,LinksPointingToPage,StatsReport,class
11054,1,1,1,1,1,1,1,-1,1,-1,1,1,,-1.0,1,1,1,1,1,1,1,1,1,-1,1,1,1,1,1,1,-1
11055,1,1,1,1,1,-1,0,-1,1,-1,1,1,-1.0,-1.0,-1,1,1,1,1,1,1,1,1,-1,1,1,1,1,1,1,-1
11056,1,1,1,1,1,-1,-1,-1,1,-1,1,1,-1.0,-1.0,-1,1,1,1,1,1,1,1,1,-1,1,1,1,1,1,1,-1
11057,1,1,1,1,1,1,0,-1,1,-1,1,1,-1.0,-1.0,-1,1,1,1,1,1,1,1,1,-1,1,1,1,1,1,1,-1
11058,1,1,1,1,1,1,0,1,-1,-1,1,1,-1.0,-1.0,-1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,-1
11059,1,1,1,1,1,1,0,-1,1,-1,1,1,,-1.0,1,1,1,1,1,1,1,1,1,-1,1,1,1,1,1,1,-1
11060,1,0,1,1,1,-1,-1,-1,-1,-1,1,1,-1.0,-1.0,-1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,-1
11061,1,1,-1,1,1,1,-1,-1,-1,-1,1,1,,-1.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,-1
11062,1,1,1,1,1,1,0,-1,-1,-1,1,1,-1.0,-1.0,-1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,-1
11063,1,1,1,1,1,1,1,1,-1,-1,1,1,-1.0,-1.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,-1
11064,1,-1,1,1,1,-1,1,1,1,-1,1,1,,,1,1,1,1,1,1,1,1,1,-1,1,1,1,1,1,1,-1
11065,1,1,1,1,1,1,0,1,1,-1,1,1,-1.0,-1.0,-1,1,1,1,1,1,1,1,1,-1,1,1,1,1,1,1,-1
11066,1,1,1,1,1,1,0,1,1,-1,1,1,-1.0,-1.0,-1,1,1,1,1,1,1,1,1,-1,1,1,1,1,1,1,-1
11067,1,1,1,1,1,1,0,1,1,-1,1,1,-1.0,-1.0,-1,1,1,1,1,1,1,1,1,-1,1,1,1,1,1,1,-1
11068,1,1,-1,1,1,-1,0,1,-1,-1,1,1,-1.0,-1.0,-1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,-1
11069,1,1,-1,1,1,-1,-1,-1,-1,-1,1,1,,-1.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,-1
11070,1,1,1,1,1,1,0,1,1,-1,1,1,-1.0,-1.0,-1,1,1,1,1,1,1,1,1,-1,1,1,1,1,1,1,-1
11071,1,1,1,1,1,1,0,1,1,-1,1,1,-1.0,-1.0,-1,1,1,1,1,1,1,1,1,-1,1,1,1,1,1,1,-1
11072,1,1,1,1,1,1,0,1,1,-1,1,1,-1.0,-1.0,-1,1,1,1,1,1,1,1,1,-1,1,1,1,1,1,1,-1
11073,1,1,1,1,1,-1,0,-1,1,-1,1,1,-1.0,-1.0,-1,1,1,1,1,1,1,1,1,-1,1,1,1,1,1,1,-1
11074,1,1,1,1,1,1,1,-1,-1,-1,1,1,-1.0,-1.0,-1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,-1
11075,1,0,1,1,1,-1,-1,-1,-1,-1,1,1,-1.0,-1.0,-1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,-1
11076,1,1,1,1,1,-1,-1,1,-1,-1,1,1,-1.0,-1.0,-1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,-1
11077,1,1,1,1,1,-1,-1,-1,-1,-1,1,1,-1.0,-1.0,-1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,-1
11078,1,1,1,1,1,1,0,-1,-1,-1,1,1,-1.0,-1.0,-1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,-1
11079,1,0,1,1,1,-1,-1,-1,1,-1,1,1,-1.0,-1.0,-1,1,1,1,1,1,1,1,1,-1,1,1,1,1,1,1,-1
11080,1,1,1,1,1,1,1,-1,1,-1,1,1,-1.0,-1.0,-1,1,1,1,1,1,1,1,1,-1,1,1,1,1,1,1,-1
11081,1,1,1,1,1,1,1,-1,1,-1,1,1,-1.0,-1.0,-1,1,1,1,1,1,1,1,1,-1,1,1,1,1,1,1,-1
11082,1,1,1,1,1,1,-1,1,-1,-1,1,1,-1.0,-1.0,-1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,-1
11083,1,1,1,1,1,-1,0,-1,1,-1,1,1,-1.0,-1.0,-1,1,1,1,1,1,1,1,1,-1,1,1,1,1,1,1,-1
11084,1,1,1,1,1,1,0,1,1,-1,1,1,-1.0,-1.0,-1,1,1,1,1,1,1,1,1,-1,1,1,1,1,1,1,-1
11085,1,1,1,1,1,1,1,-1,1,-1,1,1,-1.0,-1.0,-1,1,1,1,1,1,1,1,1,-1,1,1,1,1,1,1,-1
